Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) AMOUNT_REQ,concept:name,lifecycle:transition
187795,W_Completeren aanvraag-START,,2011/11/21 21:40:45.849,Variant 1870,1870,10000,W_Completeren aanvraag,START
187795,W_Completeren aanvraag-COMPLETE,,2011/11/21 21:42:18.817,Variant 1870,1870,10000,W_Completeren aanvraag,COMPLETE
187795,W_Completeren aanvraag-START,11201,2011/11/21 22:49:29.020,Variant 1870,1870,10000,W_Completeren aanvraag,START
187795,W_Completeren aanvraag-COMPLETE,11201,2011/11/21 22:49:41.266,Variant 1870,1870,10000,W_Completeren aanvraag,COMPLETE
187795,W_Completeren aanvraag-START,11119,2011/11/22 00:03:07.778,Variant 1870,1870,10000,W_Completeren aanvraag,START
187795,W_Completeren aanvraag-COMPLETE,11119,2011/11/22 00:05:28.108,Variant 1870,1870,10000,W_Completeren aanvraag,COMPLETE
187795,W_Completeren aanvraag-START,11201,2011/11/22 01:46:54.455,Variant 1870,1870,10000,W_Completeren aanvraag,START
187795,A_ACCEPTED-COMPLETE,11201,2011/11/22 01:53:16.051,Variant 1870,1870,10000,A_ACCEPTED,COMPLETE
187795,A_FINALIZED-COMPLETE,11201,2011/11/22 01:56:06.043,Variant 1870,1870,10000,A_FINALIZED,COMPLETE
187795,O_SELECTED-COMPLETE,11201,2011/11/22 01:56:06.043,Variant 1870,1870,10000,O_SELECTED,COMPLETE
187795,O_CREATED-COMPLETE,11201,2011/11/22 01:56:07.167,Variant 1870,1870,10000,O_CREATED,COMPLETE
187795,O_SENT-COMPLETE,11201,2011/11/22 01:56:07.194,Variant 1870,1870,10000,O_SENT,COMPLETE
187795,W_Nabellen offertes-SCHEDULE,11201,2011/11/22 01:56:07.265,Variant 1870,1870,10000,W_Nabellen offertes,SCHEDULE
187795,W_Completeren aanvraag-COMPLETE,11201,2011/11/22 01:56:09.065,Variant 1870,1870,10000,W_Completeren aanvraag,COMPLETE
187795,W_Nabellen offertes-START,10789,2011/11/25 18:18:35.027,Variant 1870,1870,10000,W_Nabellen offertes,START
187795,O_SENT_BACK-COMPLETE,10789,2011/11/25 18:18:45.429,Variant 1870,1870,10000,O_SENT_BACK,COMPLETE
187795,W_Valideren aanvraag-SCHEDULE,10789,2011/11/25 18:18:45.583,Variant 1870,1870,10000,W_Valideren aanvraag,SCHEDULE
187795,W_Nabellen offertes-COMPLETE,10789,2011/11/25 18:18:47.388,Variant 1870,1870,10000,W_Nabellen offertes,COMPLETE
187795,W_Valideren aanvraag-START,10138,2011/12/01 00:47:22.865,Variant 1870,1870,10000,W_Valideren aanvraag,START
187795,W_Valideren aanvraag-COMPLETE,10138,2011/12/01 00:47:24.398,Variant 1870,1870,10000,W_Valideren aanvraag,COMPLETE
187795,W_Valideren aanvraag-START,10138,2011/12/01 00:48:11.909,Variant 1870,1870,10000,W_Valideren aanvraag,START
187795,A_ACTIVATED-COMPLETE,10138,2011/12/01 00:58:34.626,Variant 1870,1870,10000,A_ACTIVATED,COMPLETE
187795,A_REGISTERED-COMPLETE,10138,2011/12/01 00:58:34.626,Variant 1870,1870,10000,A_REGISTERED,COMPLETE
187795,O_ACCEPTED-COMPLETE,10138,2011/12/01 00:58:34.626,Variant 1870,1870,10000,O_ACCEPTED,COMPLETE
187795,A_APPROVED-COMPLETE,10138,2011/12/01 00:58:34.626,Variant 1870,1870,10000,A_APPROVED,COMPLETE
187795,W_Valideren aanvraag-COMPLETE,10138,2011/12/01 00:58:41.656,Variant 1870,1870,10000,W_Valideren aanvraag,COMPLETE
187798,A_SUBMITTED-COMPLETE,112,2011/11/21 20:45:57.413,Variant 2,2,1500,A_SUBMITTED,COMPLETE
187798,A_PARTLYSUBMITTED-COMPLETE,112,2011/11/21 20:45:57.894,Variant 2,2,1500,A_PARTLYSUBMITTED,COMPLETE
187798,W_Afhandelen leads-SCHEDULE,112,2011/11/21 20:46:08.441,Variant 2,2,1500,W_Afhandelen leads,SCHEDULE
187798,W_Afhandelen leads-START,10910,2011/11/21 22:01:37.870,Variant 2,2,1500,W_Afhandelen leads,START
187798,A_DECLINED-COMPLETE,10910,2011/11/21 22:03:37.000,Variant 2,2,1500,A_DECLINED,COMPLETE
187798,W_Afhandelen leads-COMPLETE,10910,2011/11/21 22:03:40.628,Variant 2,2,1500,W_Afhandelen leads,COMPLETE
187801,A_SUBMITTED-COMPLETE,112,2011/11/21 20:52:52.814,Variant 3,3,7500,A_SUBMITTED,COMPLETE
187801,A_PARTLYSUBMITTED-COMPLETE,112,2011/11/21 20:52:53.035,Variant 3,3,7500,A_PARTLYSUBMITTED,COMPLETE
187801,W_Afhandelen leads-SCHEDULE,112,2011/11/21 20:53:09.597,Variant 3,3,7500,W_Afhandelen leads,SCHEDULE
187801,W_Afhandelen leads-START,10910,2011/11/21 22:03:43.311,Variant 3,3,7500,W_Afhandelen leads,START
187801,W_Afhandelen leads-COMPLETE,10910,2011/11/21 22:06:52.461,Variant 3,3,7500,W_Afhandelen leads,COMPLETE
187801,W_Afhandelen leads-START,10910,2011/11/21 22:14:04.428,Variant 3,3,7500,W_Afhandelen leads,START
187801,A_DECLINED-COMPLETE,10910,2011/11/21 22:14:33.595,Variant 3,3,7500,A_DECLINED,COMPLETE
187801,W_Afhandelen leads-COMPLETE,10910,2011/11/21 22:14:37.968,Variant 3,3,7500,W_Afhandelen leads,COMPLETE
187804,A_SUBMITTED-COMPLETE,112,2011/11/21 20:55:33.582,Variant 1,1,6000,A_SUBMITTED,COMPLETE
187804,A_PARTLYSUBMITTED-COMPLETE,112,2011/11/21 20:55:33.976,Variant 1,1,6000,A_PARTLYSUBMITTED,COMPLETE
187804,A_DECLINED-COMPLETE,112,2011/11/21 20:56:14.233,Variant 1,1,6000,A_DECLINED,COMPLETE
187807,A_SUBMITTED-COMPLETE,112,2011/11/21 20:55:50.106,Variant 1871,1871,25000,A_SUBMITTED,COMPLETE
187807,A_PARTLYSUBMITTED-COMPLETE,112,2011/11/21 20:55:50.328,Variant 1871,1871,25000,A_PARTLYSUBMITTED,COMPLETE
187807,A_PREACCEPTED-COMPLETE,112,2011/11/21 20:56:41.529,Variant 1871,1871,25000,A_PREACCEPTED,COMPLETE
187807,W_Completeren aanvraag-SCHEDULE,112,2011/11/21 20:56:41.877,Variant 1871,1871,25000,W_Completeren aanvraag,SCHEDULE
187807,W_Completeren aanvraag-START,,2011/11/21 21:03:53.139,Variant 1871,1871,25000,W_Completeren aanvraag,START
