Case ID,Activity,Complete Timestamp,Variant,Variant index
Sales,581938003836931,2018/01/30 00:46:00.000,Variant 1,1
Sales,879995849277441,2018/01/30 00:46:00.000,Variant 1,1
Sales,67143223738370,2018/01/30 00:47:00.000,Variant 1,1
Sales,287513700728832,2018/01/30 00:47:00.000,Variant 1,1
Sales,879995849277443,2018/01/30 00:47:00.000,Variant 1,1
Sales,879995849277442,2018/01/30 00:47:00.000,Variant 1,1
Sales,462194315624450,2018/01/30 00:48:00.000,Variant 1,1
Sales,738218978836482,2018/01/30 00:48:00.000,Variant 1,1
Sales,477956845600768,2018/01/30 00:49:00.000,Variant 1,1
Sales,477961140568064,2018/01/30 00:49:00.000,Variant 1,1
Sales,477965435535360,2018/01/30 00:49:00.000,Variant 1,1
Sales,643678158716931,2018/01/30 00:49:00.000,Variant 1,1
Sales,643673863749635,2018/01/30 00:49:00.000,Variant 1,1
Sales,643682453684227,2018/01/30 00:49:00.000,Variant 1,1
Sales,643669568782340,2018/01/30 00:49:00.000,Variant 1,1
Sales,67147518705666,2018/01/30 00:50:00.000,Variant 1,1
Sales,462190020657154,2018/01/30 00:51:00.000,Variant 1,1
Sales,738223273803778,2018/01/30 00:51:00.000,Variant 1,1
Sales,729783663067139,2018/01/30 00:51:00.000,Variant 1,1
Sales,748986461847553,2018/01/30 00:51:00.000,Variant 1,1
Sales,701969454858242,2018/01/30 00:51:00.000,Variant 1,1
Sales,729779368099843,2018/01/30 00:51:00.000,Variant 1,1
Sales,407553741684743,2018/01/30 00:52:00.000,Variant 1,1
Sales,407558036652039,2018/01/30 00:52:00.000,Variant 1,1
Sales,407622461161479,2018/01/30 00:52:00.000,Variant 1,1
Sales,407502202077191,2018/01/30 00:52:00.000,Variant 1,1
Sales,407506497044487,2018/01/30 00:52:00.000,Variant 1,1
Sales,407510792011783,2018/01/30 00:52:00.000,Variant 1,1
Sales,407579511488519,2018/01/30 00:52:00.000,Variant 1,1
Sales,407626756128771,2018/01/30 00:52:00.000,Variant 1,1
Sales,407532266848263,2018/01/30 00:52:00.000,Variant 1,1
Sales,664719203500032,2018/01/30 00:52:00.000,Variant 1,1
Sales,407613871226887,2018/01/30 00:52:00.000,Variant 1,1
Sales,407583806455815,2018/01/30 00:52:00.000,Variant 1,1
Sales,407618166194185,2018/01/30 00:52:00.000,Variant 1,1
Sales,407588101423111,2018/01/30 00:52:00.000,Variant 1,1
Sales,407592396390407,2018/01/30 00:52:00.000,Variant 1,1
Sales,407540856782855,2018/01/30 00:52:00.000,Variant 1,1
Sales,407549446717447,2018/01/30 00:52:00.000,Variant 1,1
Sales,407536561815559,2018/01/30 00:52:00.000,Variant 1,1
Sales,407596691357703,2018/01/30 00:52:00.000,Variant 1,1
Sales,407545151750151,2018/01/30 00:52:00.000,Variant 1,1
Sales,407600986324999,2018/01/30 00:52:00.000,Variant 1,1
Sales,407566626586631,2018/01/30 00:52:00.000,Variant 1,1
Sales,407519381946375,2018/01/30 00:52:00.000,Variant 1,1
Sales,407570921553927,2018/01/30 00:52:00.000,Variant 1,1
Sales,407515086979079,2018/01/30 00:52:00.000,Variant 1,1
Sales,407562331619335,2018/01/30 00:52:00.000,Variant 1,1
Sales,407605281292295,2018/01/30 00:52:00.000,Variant 1,1
Sales,407575216521223,2018/01/30 00:52:00.000,Variant 1,1
Sales,407523676913671,2018/01/30 00:52:00.000,Variant 1,1
Sales,407527971880967,2018/01/30 00:52:00.000,Variant 1,1
Sales,407609576259591,2018/01/30 00:52:00.000,Variant 1,1
Sales,749690836484096,2018/01/30 00:52:00.000,Variant 1,1
Sales,986124491161603,2018/01/30 00:52:00.000,Variant 1,1
Sales,380010116415489,2018/01/30 00:53:00.000,Variant 1,1
Sales,749123900801025,2018/01/30 00:53:00.000,Variant 1,1
Sales,749136785702913,2018/01/30 00:53:00.000,Variant 1,1
Sales,749149670604801,2018/01/30 00:53:00.000,Variant 1,1
Sales,701797656166402,2018/01/30 00:53:00.000,Variant 1,1
Sales,900886570205186,2018/01/30 00:54:00.000,Variant 1,1
Sales,985875383058435,2018/01/30 00:55:00.000,Variant 1,1
Sales,537639711146002,2018/01/30 00:56:00.000,Variant 1,1
Sales,537644006113284,2018/01/30 00:56:00.000,Variant 1,1
Sales,836066923773954,2018/01/30 00:56:00.000,Variant 1,1
